Data,vento,radiacao,temp_max,temp_min,umi_max,umi_min,umi_rel,press_atm,temp_media,Eto
1-1-2014,2.30618248176782,1.74775833333333,31.2,22.2,92,46,73.4583333333333,1003.86666666666,26.2875,2.71866728470262
1-2-2014,2.25320261394343,1.12225625,31.3,21.8,91,51,74.0416666666666,1002.81249999999,25.8874999999999,3.86894901876481
1-3-2014,2.08803008484384,1.1120625,31.5,20.8,91,48,70.6666666666666,1003.44583333333,26.0270833333333,4.53347951666168
1-4-2014,1.96025510950265,1.23088125,31.4,20.9,90,42,69.9583333333333,1005.11666666666,25.9229166666666,6.25264279679915
1-5-2014,1.87299415073306,1.08353020833333,31.3,20.8,90,47,71.875,1005.15416666666,25.8083333333333,5.79157478807119
1-6-2014,1.98207034919505,0.961022916666666,30.2,22.8,90,51,72.2083333333333,1004.49166666666,26.0729166666666,4.97679513087762
1-7-2014,1.64549236536947,0.748935416666666,30.5,22.5,90,51,72.5416666666666,1003.66666666666,25.7958333333333,4.19003710539952
1-8-2014,1.57069725785268,0.81225,30.2,21.6,89,55,74.4166666666666,1002.8875,25.3520833333333,5.43192256783756
1-9-2014,2.15659226673423,0.949475,31.4,21.9,92,54,77.7916666666666,1002.96666666666,25.2625,5.57812395737332
1-10-2014,2.23138737425103,0.757169791666666,31.2,22.9,92,57,77.75,1003.99583333333,25.7166666666666,5.14347370904571
1-11-2014,1.69847223319387,0.864628124999999,30.5,21.1,92,52,76.875,1004.65416666666,25.3020833333333,3.81194699196566
1-12-2014,1.75456856383146,1.07459583333333,30.5,21.7,93,50,77.3333333333333,1005.48333333333,25.5770833333333,3.88408821310477
1-13-2014,2.06621484515144,1.04987604166666,30.9,22.6,93,55,75.875,1006.77083333333,26.2125,4.88780226935836
1-14-2014,1.95090572106305,0.796565625,29.8,22.8,93,63,81.4166666666666,1006.25,25.6,5.8843391984587
1-15-2014,1.72340393569947,1.10717604166666,31.1,22.1,92,46,72.9583333333333,1005.04583333333,26.2520833333333,3.94254112035819
1-16-2014,1.75456856383146,1.205696875,31.5,21.3,91,45,73.5416666666666,1004.84166666666,26.0229166666666,3.24893397910608
1-17-2014,2.39967636616382,1.22186458333333,32.4,22.3,91,51,73.4166666666666,1005.05833333333,26.7916666666666,2.23356502074932
1-18-2014,2.28748370488862,1.09505520833333,31.7,23.4,91,58,77.875,1004.60833333333,26.7708333333333,1.20659233583896
1-19-2014,2.45577269680141,1.10528645833333,32.1,23.1,90,49,72.625,1003.58333333333,27.1333333333333,1.19028770013381
1-20-2014,2.73002142436299,1.17885208333333,32.4,22.5,91,47,71.875,1003.6,27.0354166666666,1.75987684998919
1-21-2014,2.92324211878138,1.16368958333333,32.2,22.2,89,44,70.6666666666666,1004.625,26.80625,2.0667403209739
1-22-2014,2.29060016770182,1.05553333333333,31,22.2,89,47,72.125,1005.20416666666,26.2354166666666,1.46915947592604
1-23-2014,1.97895388638185,1.11115833333333,31.4,21.5,91,44,72.25,1004.97083333333,26.1166666666666,1.98896606192997
1-24-2014,2.21580506018503,1.14707916666666,31.4,22.2,89,53,71.75,1003.69999999999,26.54375,1.71074118042177
1-25-2014,1.90104231605185,1.02232812499999,31.4,21.7,90,49,72.5833333333333,1003.34166666666,26.1520833333333,1.87178397929128
1-26-2014,2.06933130796464,0.895316666666666,31,23.4,92,55,76.1666666666666,1004.10833333333,26.45625,2.84295802155815
1-27-2014,2.38721051491102,0.774530208333333,30.1,24.3,89,58,77.0416666666666,1004.76666666666,26.45625,2.27816914472233
1-28-2014,1.94467279543665,1.02820833333333,30.3,22.8,92,56,77.25,1004.07083333333,26.0187499999999,3.82121056700335
1-29-2014,1.81378135728226,1.01557329545454,30.6,23,91,55,77.9583333333333,1004.16249999999,26.1520833333333,5.41434106677351
1-30-2014,1.86987768791986,0.729743371212121,29.3,23.1,92,62,80.75,1004.03333333333,25.7104166666666,4.79841776116704
1-31-2014,1.66730760506187,1.05367291666666,30.4,22.3,92,53,75.5833333333333,1004.05833333333,25.99375,5.66133527441837
2-1-2014,1.69847223319387,1.17992291666666,30.6,21.6,91,49,73.5,1003.34583333333,26.06875,5.12419917808123
2-2-2014,1.76391795227106,1.09648541666666,30.5,22,91,55,74.9166666666666,1002.65416666666,26.1770833333333,4.50948798392458
2-3-2014,1.90727524167825,0.777902083333333,29.5,23.7,92,64,80.25,1001.97499999999,25.875,6.11771537973989
2-4-2014,1.58627957191868,1.0258875,30.4,22.2,93,56,78.5416666666666,1002.36666666666,25.65625,5.51357651063491
