Data,vento,radiacao,temp_max,temp_min,umi_max,umi_min,umi_rel,press_atm,temp_media,Eto
1-1-2014,0.92870591833353,1.37113999999999,34.1,23.5,91,54,73.6666666666666,1001.32083333333,27.4375,2.9175681172723
1-2-2014,1.44603874532469,0.778366666666666,34.4,24.7,90,50,73.125,996.9625,28.0354166666666,3.64883490290936
1-3-2014,1.03154919116912,0.193829166666666,27.9,19.4,94,72,88.7083333333333,1003.11666666666,22.0541666666666,0.982221301366265
1-4-2014,1.3057979187307,1.17648125,28.7,17.4,84,34,62.875,1012.11249999999,22.3437499999999,3.5647761139109
1-5-2014,1.03466565398232,1.33794791666666,32.5,17.6,86,28,62.5833333333333,1010.94583333333,24.3770833333333,3.85486742630442
1-6-2014,1.15620770369711,1.33536666666666,34.5,19.4,94,24,65.1666666666666,1009.4125,25.9124999999999,3.99359565093489
1-7-2014,1.2528180509063,1.29652291666666,35.9,22.1,85,36,59.1666666666666,1005.09583333333,28.6479166666666,5.2685087838936
1-8-2014,1.3338460840495,0.648952083333333,30.4,23.6,80,52,66,1003.29583333333,27.1270833333333,3.57088623295014
1-9-2014,1.12504307556511,0.913970833333333,34.5,21.2,92,46,73.4166666666666,1005.63333333333,26.0749999999999,3.19030282129308
1-10-2014,0.93493884395993,0.502677083333333,31.6,21.5,95,58,78.875,1004.8375,25.0604166666666,2.00032123027572
1-11-2014,0.688738281717148,0.593345833333333,29.2,19.9,94,52,85.125,1006.66666666666,23.0395833333333,1.34875549557381
1-12-2014,0.607710248573954,0.556585416666666,27.3,19.7,95,65,86.4583333333333,1011.7,22.4895833333333,1.15286840304231
1-13-2014,1.07517967055391,0.628947916666666,29.3,21.5,93,60,81.9166666666666,1009.775,24.2,1.87664729394512
1-14-2014,0.93182238114673,1.07833958333333,31.9,21.2,93,48,79.1666666666666,1006.84166666666,25.1916666666666,2.54496581157296
1-15-2014,0.626409025453153,0.55806875,28.5,21.3,94,61,84.625,1006.3125,23.5104166666666,1.29719593267829
1-16-2014,0.710553521409546,1.12839583333333,31.6,19.1,95,36,71.6666666666666,1007.05,25.0416666666666,2.71391218110762
1-17-2014,1.04401504242192,1.22985625,34.3,19,94,35,69.0833333333333,1007.82083333333,25.9416666666666,3.61707808731422
1-18-2014,0.881958976135534,1.2069375,36.2,19.9,92,42,66.6666666666666,1007.92916666666,26.88125,3.77187051160447
1-19-2014,1.01596687710312,1.25071458333333,36.5,22,88,28,59,1005.88749999999,28.5645833333333,4.84550470695899
1-20-2014,0.953637620839128,1.1291375,37.5,23.5,78,28,50.5416666666666,1004.50833333333,30.3458333333333,5.41589660374253
1-21-2014,1.2123040343347,1.27199166666666,37.2,22.4,55,30,41.4583333333333,1002.46666666666,30.1770833333333,6.80401394492396
1-22-2014,0.959870546465528,1.09574999999999,37,25.4,87,38,60.7916666666666,1003.92083333333,30.74375,4.68049301751434
1-23-2014,1.09699491024631,1.09997291666666,37.5,24.9,82,41,61.1666666666666,1003.51666666666,30.83125,5.02170874564165
1-24-2014,1.69223930756747,1.03201875,37.5,26.6,79,40,60.7083333333333,1001.27916666666,31.0375,6.54588735344699
1-25-2014,1.40552472875309,0.233813194444444,28.4,19.6,94,63,82.125,1009.55833333333,22.09375,1.68321067841331
1-26-2014,1.75145210101826,0.592957638888889,26.9,19.6,93,69,82.375,1010.19166666666,22.375,1.97532937816847
1-27-2014,1.02531626554272,1.13059583333333,35.5,22.3,91,45,72.5,1008.19166666666,27.3854166666666,3.54736196446419
1-28-2014,0.847677885190336,1.15224166666666,37.7,24.5,88,39,67.7083333333333,1006.78333333333,29.525,3.88165322749679
1-29-2014,1.05648089367472,1.17441875,38.2,25.1,86,35,64.375,1006.9375,30.0541666666666,4.76774304957085
1-30-2014,1.08452905899351,1.146,37.5,23.5,90,39,69.5,1007.07916666666,29.0395833333333,4.22473232477007
1-31-2014,0.919356529893931,0.899387499999999,32.8,23,87,49,71.3333333333333,1007.07083333333,26.54375,2.92377054896421
2-1-2014,0.66380657921155,0.977979166666666,34.5,21.9,94,41,68.875,1006.32499999999,26.9333333333333,2.92727327072444
2-2-2014,1.17179001776311,1.20020833333333,37.7,22.5,92,39,65.7083333333333,1004.36666666666,28.9270833333333,4.63962421044571
2-3-2014,1.2528180509063,1.03745,38,24.8,87,39,62.7916666666666,1003.5625,30.7624999999999,5.11646359748427
2-4-2014,1.14062538963111,1.05815833333333,38,25.2,78,36,59.7916666666666,1004.71666666666,29.6375,5.13157434223092
2-5-2014,0.866376662069535,1.248975,39.6,24.9,84,26,59.9166666666666,1004.97083333333,31.575,5.02134806526864
2-6-2014,1.2247698855875,1.22945416666666,40.6,26.9,77,26,56.125,1004.39583333333,32.5770833333333,6.45203304752007
2-7-2014,0.941171769586329,1.15102916666666,39.8,27,90,33,64.75,1004.34583333333,32.2583333333333,4.87989472519111
2-8-2014,1.2590509765327,0.900610763888888,35.1,21.1,92,42,66.0833333333333,1005.3375,29.8562499999999,4.52318855271906
2-9-2014,1.2185369599611,1.21405034722222,38.4,22.9,86,37,62.3333333333333,1004.86666666666,28.9770833333333,4.97880718463957
2-10-2014,1.02219980272952,1.11218680555555,36.4,21.5,94,49,69.7083333333333,1008.17083333333,28.7979166666666,3.85871184858083
2-11-2014,0.741718149541544,1.13785833333333,37.2,22.4,94,29,70.4583333333333,1006.47916666666,28.2479166666666,3.35135032000347
2-12-2014,1.13439246400471,1.02372638888888,34.9,23.6,90,49,74.7083333333333,1003.37083333333,28.8083333333333,3.47625967121882
2-13-2014,1.35254486092869,0.440853472222222,29.8,19.6,94,62,85.625,1005.13333333333,23.6770833333333,1.65353698833814
2-14-2014,2.04439960545904,0.604815972222222,25.7,18.3,96,55,80.9166666666666,1011.5,21.0875,2.12855563116399
2-15-2014,2.00700205170065,0.950916666666666,26.5,19,77,44,63.375,1017.2375,22.4229166666666,3.98825340850225
2-16-2014,1.78261672915026,0.867945833333333,28,18.3,83,51,68.1666666666666,1016.34583333333,22.71875,3.43757027843694
2-17-2014,1.94155633262345,1.17622256944444,30.4,19.7,88,49,71.625,1014.08333333333,23.9958333333333,3.81966971337021
2-18-2014,1.83871305978786,1.26255208333333,30.4,20.3,83,49,68.125,1011.89583333333,24.8791666666666,4.17329894908932
2-19-2014,1.2559345137195,1.09692361111111,32,21.1,80,42,65.3333333333333,1008.75,25.6604166666666,3.8297928391707
2-20-2014,0.641991339519152,0.469452430555555,27.3,21.5,86,55,73.5416666666666,1005.90416666666,24.0791666666666,1.62132478451821
2-21-2014,0.66692304202475,1.08442638888888,33,21.8,91,51,73.9583333333333,1005.52083333333,26.3229166666666,2.61141391454036
2-22-2014,0.853910810816736,0.683756597222222,32.7,22.6,90,58,74.0416666666666,1006.075,26.0979166666666,2.38704890355731
2-23-2014,0.617059637013553,0.6162,30.4,21.8,95,58,83.0833333333333,1004.39583333333,24.3291666666666,1.45933716543965
2-24-2014,1.13750892681791,1.15346805555555,32.3,21.6,91,56,73.1666666666666,1004.225,25.9166666666666,3.19995189302712
2-25-2014,1.16867355494991,0.577077430555555,29.1,22.2,94,64,80.875,1007.3,25.1270833333333,1.96164707338948
2-26-2014,1.03154919116912,0.143468055555555,23.5,21.1,97,90,93.8333333333333,1006.54166666666,22.3958333333333,0.539141259180942
2-27-2014,1.49901861314908,0.412935416666666,22.5,17.7,99,75,91.75,1005.05416666666,19.8708333333333,0.871205300632474
2-28-2014,1.15309124088391,1.02111527777777,26.3,17.6,94,55,81.5416666666666,1005.54583333333,20.575,1.91285717235584
3-1-2014,1.04713150523512,1.01864236111111,26.9,17.5,93,52,76.125,1005.8625,21.2958333333333,2.18361035513721
3-2-2014,0.772882777673542,1.05780451388888,27.4,17.4,94,47,73.3333333333333,1008.79166666666,22.3375,2.12055780113303
3-3-2014,1.79508258040306,0.903275,28.7,19.2,88,57,74.3333333333333,1009.84999999999,22.8895833333333,3.03413266757532
3-4-2014,0.962987009278728,0.842097569444444,29.6,19.7,95,48,77.5416666666666,1008.175,23.7895833333333,2.19073072478437
3-5-2014,0.635758413892752,0.523076388888888,28.3,21.6,90,61,78.2083333333333,1006.44166666666,24.2041666666666,1.51211817972489
3-6-2014,0.953637620839128,0.942349652777777,29.7,20.4,94,48,75.375,1006.74583333333,24.2208333333333,2.41610707627061
3-7-2014,0.754184000794343,0.951692708333333,28.7,20,91,48,72.875,1007.85833333333,24.03125,2.22383323552559
3-8-2014,1.2559345137195,0.575584722222222,25.6,19.4,97,65,81,1007.875,21.7375,1.73237260260885
3-9-2014,0.747951075167944,0.978762152777777,29.3,18.8,94,55,78.5833333333333,1005.6375,22.6229166666666,1.9609712313222
3-10-2014,0.92870591833353,0.646529861111111,28.4,20.1,92,58,77.75,1004.01666666666,23.6416666666666,1.85993908194564
3-11-2014,0.747951075167944,0.664296875,27.8,20.3,95,62,79.0833333333333,1006.99166666666,23.2874999999999,1.6466519878041
3-12-2014,1.2933320674779,0.762220486111111,27.7,18.9,84,52,70.25,1012.28749999999,22.4270833333333,2.66459079036948
3-13-2014,1.57381372066588,0.839178124999999,28.6,20,87,61,74.5416666666666,1012.32083333333,23.4583333333333,2.82197407638448
3-14-2014,0.92870591833353,1.04696388888888,32,19.2,93,43,72.6666666666666,1007.13749999999,24.6,2.67642418869933
3-15-2014,1.56446433222628,0.334305208333333,27.3,22.6,89,64,75.75,1002.30833333333,25.0437499999999,2.37456019518879
3-16-2014,1.15309124088391,0.861717708333333,31.3,21.1,89,58,75.7916666666666,1004.45416666666,25.275,2.61538103049467
3-17-2014,1.2091875715215,0.310563194444444,27.2,20.6,94,68,83.6666666666666,1003.47916666666,23.8416666666666,1.41842908274267
3-18-2014,0.841444959563937,0.275290625,24.9,20,94,72,88.0833333333333,1008.5625,22.65625,0.87532003582294
3-19-2014,0.922472992707131,0.154474305555555,23.7,19.9,97,87,92.2916666666666,1006.55,21.1062499999999,0.574755756957072
3-20-2014,0.959870546465528,0.590770138888889,26.5,19.2,97,65,84.2916666666666,1000.9625,22.2333333333333,1.40771337426304
3-21-2014,1.00038456303712,0.652542361111111,25.8,21.2,93,59,81.3333333333333,1001.5625,23.0041666666666,1.64486822769169
3-22-2014,1.2372357368403,0.631701388888889,21.8,14.4,88,41,69.2916666666666,1012.80416666666,18.4916666666666,2.00453481950707
3-23-2014,0.754184000794343,0.980951736111111,24.2,11.6,89,42,67.0416666666666,1015.86666666666,17.1229166666666,1.81446426800923
3-24-2014,0.813396794245139,0.952053125,28.5,13.7,93,42,70.8333333333333,1012.77083333333,20.2833333333333,2.09667181928517
3-25-2014,0.997268100223925,0.822658333333333,29.3,17.5,91,46,73.2083333333333,1014.10416666666,22.55625,2.2544599635232
3-26-2014,1.61432773723747,0.787531597222222,28.8,19.1,92,49,76.75,1016.0625,22.8499999999999,2.60204439461488
3-27-2014,1.53953262972068,0.804447222222222,29.5,20.9,87,56,75.5,1013.24999999999,23.9729166666666,2.8224349683586
3-28-2014,0.775999240486742,0.861344444444444,31.8,19.4,88,42,68.375,1009.13333333333,24.9854166666666,2.50196305535355
3-29-2014,0.987918711784326,0.856564930555555,33.4,21.7,94,39,69.9166666666666,1006.32083333333,26.3729166666666,3.00524855026207
3-30-2014,0.735485223915145,0.433574305555555,32.1,23,90,48,70.2916666666666,1003.07083333333,25.9875,2.17164871822863
3-31-2014,0.881958976135534,0.350956249999999,26.2,21.4,95,75,88.625,1007.73749999999,23.44375,0.99766027581569
4-1-2014,0.93493884395993,0.533408333333333,27.5,21.5,99,70,88.2083333333333,1013.06666666666,23.0166666666666,1.21788925529193
4-2-2014,1.91662463011785,0.752564236111111,28.6,21.1,94,58,82.3333333333333,1014.92083333333,23.9416666666666,2.34057569982087
4-3-2014,1.86987768791986,0.857799999999999,28.5,20.1,93,51,77.25,1014.22916666666,23.6958333333333,2.77687741862309
4-4-2014,1.10011137305951,0.855215624999999,31.2,19.3,92,48,73.8333333333333,1013.61249999999,24.2395833333333,2.61116503610362
4-5-2014,0.888191901761933,0.854560763888889,31.6,18.2,91,39,65.8333333333333,1011.76666666666,24.8354166666666,2.77917156687204
4-6-2014,0.567196232002357,0.707060763888889,32.4,20.7,92,48,71.0833333333333,1009.60833333333,25.5416666666666,2.06039961342488
4-7-2014,1.2216534227743,0.588452083333333,30.2,22.1,92,58,81.25,1007.82499999999,24.80625,1.98577641748106
4-8-2014,1.05959735648792,0.417257719017093,31.3,22,94,52,79.4583333333333,1003.65,24.9729166666666,1.88421013205102
4-9-2014,1.11569368712551,0.593390544871795,28.4,21.2,95,54,81.25,1004.2125,23.8916666666666,1.78676469651455
4-10-2014,0.775999240486742,0.775128125,27.9,16.7,92,50,74.6666666666666,1008.4,21.8354166666666,1.75563908888044
4-11-2014,0.944288232399529,0.216714136904761,26.5,21.1,95,71,85.625,1007.31666666666,22.5708333333333,1.06588350323022
4-12-2014,1.58939603473188,0.644097161172161,25.1,20.9,96,59,82.2083333333333,1001.61249999999,22.4083333333333,1.83894043275295
4-13-2014,2.23138737425103,0.854616132478632,21.9,12.5,78,46,61.375,1012.22916666666,17.2083333333333,3.17403326753125
4-14-2014,0.878842513322334,0.793681303418803,22.2,12.6,87,47,70.5833333333333,1016.3,16.6124999999999,1.59816990238215
4-15-2014,0.864818430662935,0.625180448717948,35.85,13.4,91,53,74.9583333333333,1014.57916666666,18.2645833333333,1.29176287948868
4-16-2014,0.632641951079552,0.719541666666666,28,14.3,94,44,73.4583333333333,1010.82083333333,20.59375,1.49347661511664
4-17-2014,0.710553521409546,0.712992948717948,29.5,17.1,94,53,74.9166666666666,1008.79583333333,23.0895833333333,1.7709065814898
4-18-2014,0.632641951079552,0.465291666666666,27.9,21.1,92,58,79.9583333333333,1005.85833333333,23.6666666666666,1.256379940589
4-19-2014,0.766649852047142,0.178424038461538,22.6,19.8,95,79,89.375,1009.83333333333,21.0791666666666,0.619955922154882
4-20-2014,1.07517967055391,0.541095833333333,25.2,18.4,93,58,78.625,1013.4875,21.0395833333333,1.57659665136188
4-21-2014,0.617059637013553,0.678216666666666,27.7,15.3,91,54,75.7083333333333,1010.73749999999,20.2520833333333,1.38007295228086
4-22-2014,1.18113940620271,0.58691282051282,22.4,17.9,92,58,76.4166666666666,1011.76666666666,19.95625,1.65909123579823
4-23-2014,0.913123604267531,0.424819551282051,22.8,14.3,85,57,72.375,1014.22916666666,17.9625,1.41531265269018
4-24-2014,1.01285041428992,0.574639102564102,21.7,15.8,86,54,72.9583333333333,1014.87083333333,17.8833333333333,1.58507852245292
4-25-2014,0.651340727958751,0.580065064102564,21.3,12.4,94,49,78.125,1014.5,15.9062499999999,0.99354176019536
4-26-2014,0.835212033937537,0.531464102564102,22.3,11,95,56,80.1666666666666,1014.70833333333,15.5791666666666,1.00834974518137
4-27-2014,1.64549236536947,0.700858333333333,24,14.6,87,47,71.5416666666666,1016.10833333333,18.1291666666666,2.2739534478757
4-28-2014,0.891308364575133,0.621667742673992,25.6,14.5,82,43,66.8333333333333,1016.84583333333,19.4229166666666,1.89005556666751
4-29-2014,0.641991339519152,0.613544047619047,26,15.8,84,47,67.125,1012.35416666666,20.0375,1.62722037068152
4-30-2014,0.570312694815557,0.106573511904761,21.4,18.6,85,67,76.5833333333333,1005.40833333333,19.6604166666666,0.8745752673079
5-1-2014,1.68288991912787,0.379338095238095,23.2,17.5,94,59,82.5,999.745833333333,19.2333333333333,1.50993492576406
5-2-2014,1.11569368712551,0.599947321428571,22.2,15.8,83,55,74.1666666666666,1010.875,18.0749999999999,1.60428481560023
5-3-2014,0.579662083255156,0.623796726190476,26.9,12.6,95,46,75.9583333333333,1012.59999999999,18.5895833333333,1.19932049382608
5-4-2014,0.962987009278728,0.103103273809523,20.5,18,96,74,89.2083333333333,1010.04166666666,18.9666666666666,0.591733856282904
5-5-2014,0.601477322947555,0.534994047619047,25.7,17.3,96,66,88.1666666666666,1010.23333333333,19.7958333333333,0.800628356917696
5-6-2014,0.763533389233942,0.441762202380952,25.5,18.9,95,69,86.625,1009.8625,21.2020833333333,0.910095503319005
5-7-2014,0.607710248573954,0.416247321428571,24.1,18.8,95,72,87.3333333333333,1012.05,20.7125,0.76421866496508
