list,list_lags,Eto,lags_Target,rmse,mae,nse,mbe,forecast_horizon,model,selection_attribute_type,horizon,station_name,code_execution
['temp_media'],"[[29, 28, 30]]",['Eto'],"[1, 2, 3, 4, 5, 6, 7]",0.93,0.69,0.74,-0.0,1,arvore,0,1,Brasilia,1
"['temp_media', 'J', 'press_atm']","[[26, 29, 22], [5], [25]]",['Eto'],"[1, 2, 3, 4, 28]",0.93,0.69,0.74,-0.0,1,arvore,1,1,Brasilia,1
['temp_media'],"[[29, 28, 30, 27]]",['Eto'],"[3, 4, 5, 6, 7, 8]",1.35,1.0,0.46,0.06,3,arvore,0,3,Brasilia,1
"['temp_media', 'press_atm', 'J']","[[29, 30], [25, 28, 22, 24], [17]]",['Eto'],"[3, 5, 4]",1.34,0.99,0.47,0.06,3,arvore,1,3,Brasilia,1
['temp_media'],"[[29, 28, 30, 27, 26, 24, 25, 22]]",['Eto'],"[7, 8]",1.61,1.17,0.23,0.27,7,arvore,0,7,Brasilia,1
"['temp_media', 'press_atm', 'J']","[[26, 28, 22, 21, 17, 18], [28, 29, 22], [7]]",[],[],1.65,1.17,0.19,0.3,7,arvore,1,7,Brasilia,1
['temp_media'],"[[29, 28, 30, 27, 26, 24, 25, 22, 23, 21]]",[],[],1.69,1.21,0.15,0.36,10,arvore,0,10,Brasilia,1
"['temp_media', 'press_atm', 'temp_min', 'J']","[[28, 29, 30, 23], [30, 20], [30], [21, 13, 10]]",[],[],1.62,1.25,0.22,-0.16,10,arvore,1,10,Brasilia,1
['temp_media'],"[[29, 28, 30]]",['Eto'],"[1, 2, 3, 4, 5, 6, 7]",0.93,0.67,0.75,0.11,1,xgb,0,1,Brasilia,1
"['temp_media', 'J', 'press_atm']","[[26, 29, 22], [5], [25]]",['Eto'],"[1, 2, 3, 4, 28]",0.9,0.66,0.76,0.1,1,xgb,1,1,Brasilia,1
['temp_media'],"[[29, 28, 30, 27]]",['Eto'],"[3, 4, 5, 6, 7, 8]",1.39,1.01,0.42,0.19,3,xgb,0,3,Brasilia,1
"['temp_media', 'press_atm', 'J']","[[29, 30], [25, 28, 22, 24], [17]]",['Eto'],"[3, 5, 4]",1.39,1.0,0.43,0.34,3,xgb,1,3,Brasilia,1
['temp_media'],"[[29, 28, 30, 27, 26, 24, 25, 22]]",['Eto'],"[7, 8]",1.62,1.14,0.22,0.48,7,xgb,0,7,Brasilia,1
"['temp_media', 'press_atm', 'J']","[[26, 28, 22, 21, 17, 18], [28, 29, 22], [7]]",[],[],1.81,1.26,0.02,0.6,7,xgb,1,7,Brasilia,1
['temp_media'],"[[29, 28, 30, 27, 26, 24, 25, 22, 23, 21]]",[],[],1.73,1.21,0.11,0.55,10,xgb,0,10,Brasilia,1
"['temp_media', 'press_atm', 'temp_min', 'J']","[[28, 29, 30, 23], [30, 20], [30], [21, 13, 10]]",[],[],1.61,1.12,0.23,0.46,10,xgb,1,10,Brasilia,1
['temp_media'],"[[29, 28, 30]]",['Eto'],"[1, 2, 3, 4, 5, 6, 7]",0.91,0.66,0.76,0.07,1,florestaAleatoria,0,1,Brasilia,1
"['temp_media', 'J', 'press_atm']","[[26, 29, 22], [5], [25]]",['Eto'],"[1, 2, 3, 4, 28]",0.89,0.65,0.76,0.08,1,florestaAleatoria,1,1,Brasilia,1
['temp_media'],"[[29, 28, 30, 27]]",['Eto'],"[3, 4, 5, 6, 7, 8]",1.4,1.02,0.42,0.18,3,florestaAleatoria,0,3,Brasilia,1
